artikelnummer,omschrijving,hs_code
6117,Hondendeken kerst,4201000090
6121,Fleecedeken color met singels,4201000090
6122,Deken zomer basic,4201000090
6124,Regendeken turnout Big neck 0gr,4201000090
6129,Vliegendeken Combo met hals,4201000090
6131,Staldeken Start 150gr,4201000090
6141,Stapmolendeken waterdicht 0gr,4201000090
6146,Veulendeken turnout 100gr,4201000090
6149,Uitrijdeken wol Quarter,4201000090
6155,Fleecedeken Brilliance,4201000090
6169,Borstverlenger quick release,4201000090
6170,Borstverlenger classic,4201000090
6171,Borstbeschermer Ontario,4201000090
6172,Deken combo set turnout-onderdeken-hals,4201000090
6173,Regendeken turnout luxe 0gr,4201000090
6174,Regendeken turnout luxe fleece,4201000090
6175,Regendeken turnout luxe 100gr,4201000090
6176,Regendeken turnout luxe 200gr,4201000090
6177,Regendeken turnout luxe 300gr,4201000090
6200,Afneembare singels,4201000090
6205,Uitrijdeken met fleece voering,4201000090
6212,Eczeemdeken Icelandic,4201000090
6216,Vliegendeken met afneembare hals en masker Big neck,4201000090
6217,Turnout buikflap 200gr,4201000090
6220,Losse fleece hals,4201000090
6224,Elastische halsbeschermer,4201000090
6226,Reflectie uitrijdeken,4201000090
6261,Vliegenuitrijdeken met franjes,4201000090
6275,Staldeken luxe Collection 200gr,4201000090
6281,Veulen vliegendeken,4201000090
